200049798-00171154,东莞快意,Y1.0F3-H,1,DNN,,DC110V,480*7*12*18-3M,有,CTRL90,海1387,10米,,"DOVER英文铭牌,主机型号打印为SC80L,载重打印2050kg","V型槽，β=103，γ=50，全英文资料，防护罩防护罩WYT-Y2D-FHZ.4，右置，包角＞145°NSK轴承,DOVER包装箱",2015/1/15,,,16E3B2A,,,,,华南
XDL153844,连云港西德电梯有限公司(江苏西继),U1.5ES-H,1,MM,,DC110V,480*8*10*16-2D,有,CV,海1387,10米配,,蓝光铭牌,,2015/2/10,,电机灰,BLB,,,,,华东2
XDL145596-145597-1,连云港西德电梯有限公司(江苏西继),U1.75DS-H,2,MM,,DC110V,480*7*10*16-2D,有,施耐德,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/13,,电机灰,BLB,,,,,华东2
YM141223G,辽宁富士(安徽）,S1.0C-H,1,BCC,,AC220V,400*5*10*16,无,蓝光一体化,海1387,8米,4米,蓝光铭牌,D型,2015/1/8,,电机灰,14EB2,,,,,华东2
YM150126A,辽宁富士(安徽）,TA1.75C-H,3,MC,,DC220V,400*5*10*16,有,安川,海1387,8米,,蓝光铭牌,,2015/1/26,,电机灰,BLB,,,,,华东2
YM150108C,四川科莱,S1.0D-H,3,BCC,,AC220V,400*5*10*16,无,CV,海1387,8米配,5米,蓝光铭牌,,2015/1/8,,,14EB2,,,,,华东2
YM150209E,四川科莱,S2.0D-H,6,BCC,,AC220V,400*6*10*16-3G,有,CV,海1387,8米配,,蓝光铭牌,,2015/2/10,,,14EB2,,,,,华东2
YM150209I,四川科莱,TA1.0B-H,1,MC,,DC220V,400*4*10*16,有,CV,海1387,8米配,,蓝光铭牌,,2015/2/10,,,BLB,,,,,华东2
YM150106J,四川科莱,TA1.75D-H,8,MC,,DC220V,400*5*10*16,有,CV,海1387,8米配,,蓝光铭牌,,2015/1/8,,,BLB,,,,,华东2
YM150211A,四川科莱,U1.0ES-H,1,MM,,DC220V,480*7*10*16-2D,有,CV,海1387,8米配,,蓝光英文铭牌,,2015/2/12,,,BLB,,,,,华东2
YM150107G,苏州富士制御电梯,TA1.0C-H,8,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，合格证和随机资料不放在箱子里单独邮给客户,2015/1/8,,,BLB,,,,,华东2
YM150210F,苏州富士制御电梯,TA1.0D-H,2,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，合格证和随机资料不放在箱子里单独邮给客户,2015/2/12,,,BLB,,,,,华东2
YM150107H,苏州富士制御电梯,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，合格证和随机资料不放在箱子里单独邮给客户,2015/1/8,,,BLB,,,,,华东2
YM150106D,苏州富士制御电梯,TA1.75C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，合格证和随机资料不放在箱子里单独邮给客户,2015/1/8,,,BLB,,,,,华东2
YM150112B,苏州富士制御电梯,TA1.75D-H,4,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,"D型,合格证和随机资料不放在箱子里单独邮给客户",2015/1/26,,,BLB,,,,,华东2
YM150109E,苏州富士制御电梯,TA2.0D-H,2,MC,,DC110V,400*5*10*16,无,新时达,海1387,7米,,蓝光英文铭牌,D型.合格证和随机资料不放在箱子里单独邮给客户,2015/1/12,,,BLB,,,,,华东2
SSEC2015837(2015010100),苏州铃木,S1.5C-H,1,BCC,,AC220V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/2/11,,电机灰,14EB2,,,,,华东2
SSEC2015815(2015010099),苏州铃木,S1.5D-H,1,BCC,,AC220V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/2/11,,电机灰,14EB2,,,,,华东2
SSEC02789,苏州铃木,S1.75C-H,1,BCC,,AC220V,400*5*10*16,有,,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线。蓝光标准颜色,2015/1/5,,,14EB2,,,201006601售后服务,,华东2
SSEC2015139（2015010021-0022）,苏州铃木,S1.75CL-H,2,BCC,,AC220V,480*5*10*16-3U,有,新时达,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/1/20,,电机灰,14EB2,,,2014092156-2157(9#东9#西),,华东2
SSEC03190(2014061118-1120),苏州铃木,S1.75DL-H,3,BCC,,AC220V,480*6*10*16-3AD,有,新时达,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/3/5,,电机灰,14EB2,,,,,华东2
YN15-0055,辽宁三洋,TA1.75C-H,13,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,7米,,蓝光铭牌,D型,2015/2/4,,,BLB,,,,,北方
YN15-0054,辽宁三洋,TA1.75D-H,9,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,7米,,蓝光铭牌,D型,2015/2/4,,,BLB,,,,,北方
YN141224A,齐齐哈尔建华,TA1.0C-H,1,MC,,DC220V,400*5*10*16,无,蓝光一体化,海1387,7米,,蓝光铭牌,D型,2015/1/21,,,BLB,,,,,北方
SSEC2015723(201510107-0108),苏州铃木,S2.0CL-H,2,BCC,,AC220V,480*5*10*16-3U,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/2/9,,电机灰,14EB2,,,,,华东2
SSEC02636,苏州铃木,TA1.0C-H,4,MC,,DC110V,400*5*10*16,有,新时达,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/1/5,,电机灰,BLB,,,2014122655-2658,,华东2
SSEC2015656(2015020118),苏州铃木,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/2/9,,电机灰,BLB,,,,,华东2
SSEC2015509(2015010086),苏州铃木,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/2/2,,电机灰,BLB,,,,,华东2
SSEC02777,苏州铃木,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线。,2015/1/5,,电机灰,BLB,,,20141226,,华东2
SSEC02718,苏州铃木,TA1.5D-H,8,MC,,DC110V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线。,2015/1/5,,电机灰,BLB,,,2014122667-2674,,华东2
SSEC2015176(2015010025-0026),苏州铃木,TA1.6D-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/1/20,,电机灰,BLB,,,,,华东2
SSEC201501(2015010013-0014),苏州铃木,TA1.75C-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/1/19,,电机灰,BLB,,,2014122618-2619,,华东2
SSEC03004(2014122609-2610),苏州铃木,TA1.75D-H,2,MC,,DC110V,400*5*10*16,有,富士LIFT,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/1/22,,电机灰,BLB,,,,,华东2
SSEC20151095(2015020135),苏州铃木,TA1.75DL-H,1,MC,,DC110V,480*5*10*16,有,蓝光一体化,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/3/9,,电机灰,BLB,,,,,华东2
(SSEC)2015030157-0168,苏州铃木,Y1.75C2-H,12,EWW,,AC220V,480*10*12*15-3F(C),有,富士,海1387,,,苏州铃木铭牌（SSEC版本）,不带电缆线,2015/3/4,,电机灰,16E3B2,,,,,华东2
YM150106E,苏州迅电,TA1.0E-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,,苏州铃木铭牌（SSEC版本）。,D型,2015/1/12,,,BLB,,,,,华东2
YM150306B,苏州迅电,TA2.0D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,,蓝光铭牌,D型,2015/3/9,,,BLB,,,,,华东2
YN150123A,沈阳三洋安装,方型制动器（左）,1,,,DC110V,WYT-TA.3-YA,,,,,,,木箱包装,2015/1/23,,,,,,,,北方
YM150114A,苏州迅电,U2.0ES-H,1,MM,,DC110V,480*7*12*18,无,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/14,,,BLB,,,,,华东2
YM150121A,苏州银海机电科技有限公司,TA1.0B-H,5,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,浙江富控英文铭牌（MP-116）,D型，TA出口包装,2015/1/23,,电机灰,BLB,,,,,华东2
YM150123A,苏州银海机电科技有限公司,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,浙江富控英文铭牌（MP-120A）,D型，TA出口包装,2015/1/26,,电机灰,BLB,,,,,华东2
沃克斯型式试验,沃克斯电梯（上海腾能）,U2.5FS-H,1,BCC,,DC110V,480*7*12*18,有,CV,海1387,7米,,沃克斯铭牌MP-93,用库存机器,2015/1/23,,,BLB,,,,,华东2
YM150130A,西威电梯江苏有限公司,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米,,西威铭牌,D型,2015/1/30,,,BLB,,,2014-K-00838,,华东2
YE150107A,松日电梯,TA1.0C-H,3,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,松日铭牌MP-117,D型,2015/1/8,,,BLB,,,,,华东1
YE150101A,松日电梯,TA1.75D-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,松日铭牌MP-117,D型,2015/1/5,,,BLB,,,,,华东1
YE150205D,苏州富士精工,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,10米,,蓝光铭牌,D型,2015/2/5,,,BLB,,,15-02024#,,华东1
YE150203M,苏州富士精工,TA1.75D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,10米,,蓝光铭牌,D型 ,2015/2/3,,,BLB,,,销售购买,,华东1
YM150115I,西威电梯江苏有限公司,TA1.0D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,10米,,蓝光铭牌,D型,2015/1/16,,,BLB,,,,,华东2
YM150130B,西威电梯江苏有限公司,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米,,西威铭牌,D型,2015/1/30,,,BLB,,,,,华东2
YM150303B,西威电梯江苏有限公司,TA1.5E-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米,,"西威铭牌，悬挂比4:1,2300KG,0.75m/s",D型,2015/3/5,,,BLB,,,,,华东2
YM150130C,西威电梯江苏有限公司,TA1.75C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米,,江苏广日德科铭牌,D型,2015/1/30,,,BLB,,,,,华东2
YM150105A,西威电梯江苏有限公司,TA1.75D-H,3,MC,,DC110V,400*5*10*16,有,新时达,海1387,9米,,江苏广日德科铭牌,D型,2015/1/6,,,BLB,,,,,华东2
YM150309B,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),S1.0C-H,1,BCC,,DC110V,400*5*10*16,无,新时达,海1387,8米,7米,蓝光铭牌,D型，减震1套（赠，减震组合螺栓型号为：M16*40）,2015/3/9,,,14EA,,,,,华东2
YM150104C,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),S1.0D-H,1,BCC,,DC110V,400*5*10*16,无,新时达,海1387,8米,7米,蓝光铭牌,D型，减震1套（赠，减震组合螺栓型号为：M16*40）,2015/1/5,,,14EA,,,,,华东2
YM150302N,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),S1.5C-H,5,BCC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,4米,蓝光铭牌,"D型，减震5套（赠，减震组合螺栓型号为：M16*40）,左置",2015/3/3,,,14EA,,,,,华东2
YM150104D,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),S1.75C-H,3,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震3套（赠，减震组合螺栓型号为：M16*40）,2015/1/5,,,14EA,,,,,华东2
YM150104E,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),S1.75D-H,3,BCC,,DC110V,400*6*10*16-3G,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震3套（赠，减震组合螺栓型号为：M16*40）,2015/1/5,,,14EA,,,,,华东2
YM150302E,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),S2.0DL-H,4,BCC,,DC110V,480*6*10*16-3AI,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震4套（赠，减震组合螺栓型号为：M16*40）,2015/3/3,,,14EA,,,,,华东2
YM150119D,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),TA1.0A-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震1套（赠，减震组合螺栓型号为：M16*40）。,2015/1/20,,,BLB,,,,,华东2
YM150302G,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,8米,,蓝光铭牌,D型，减震1套（赠，减震组合螺栓型号为：M16*40）,2015/3/3,,,BLB,,,,,华东2
YM150104H,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),TA1.0C-H,12,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震12套（赠，减震组合螺栓型号为：M16*40）,2015/1/5,,,BLB,,,,,华东2
YM150302I,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震1套（赠，减震组合螺栓型号为：M16*40）,2015/3/3,,,BLB,,,,,华东2
YM150302D,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),TA1.75C-H,6,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震6套（赠，减震组合螺栓型号为：M16*40）,2015/3/3,,,BLB,,,,,华东2
YM150106K,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),TA1.75D-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型，减震2套（赠，减震组合螺栓型号为：M16*40）,2015/1/8,,,BLB,,,,,华东2
YM150302F,许昌富士通电梯有限公司(许昌德瑞电梯有限公司),U1.0DS-H,1,MM,,DC110V,480*7*10*16-2D,有,默纳克,海1387,8米,,"蓝光铭牌,载重打1250KG ",D型，减震1套（赠，减震组合螺栓型号为：M16*40）,2015/3/3,,,BLB,,,,,华东2
YM150107E,中原智能,TA1.0D-H,5,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/8,,电机灰,BLB,,,,,华东2
YE150302Hb,苏州立达中远（南浔）,TA1.0B-H,1,MC,,DC110V,400*4*10*16, 有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/3/3,,,BLB,,,201502038,,华东1
YE150310B,苏州立达中远（南浔）,TA1.0C-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,,蓝光铭牌,D型,2015/3/11,,,BLB,,,201503061,,华东1
YE150105C,苏州立达中远（南浔）,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/7,,,BLB,,,201501010,,华东1
YE150105B,苏州立达中远（南浔）,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/7,,,BLB,,,201501006,,华东1
YE150302Hd,苏州立达中远（南浔）,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/3/3,,,BLB,,,201502040,,华东1
YE150115B,苏州立达中远（南浔）,U1.0ES-H,1,MM,,DC110V,480*7*12*18, 有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/16,,,BLB,,,201501024,,华东1
YE150114D,苏州立达中远（南浔）,U1.5ES-H,1,MM,,DC110V,480*7*12*18, 有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/14,,,BLB,,,201501019,,华东1
YM150209G,中原智能,TA1.75D-H,6,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/2/10,,电机灰,BLB,,,,,华东2
YM150309D,重庆淮淳,S2.5D-H,3,BCC,,AC220V,400*5*10*16,有,蓝光一体化,海1387,10米,,蓝光铭牌,D型，减震12块（赠),2015/3/10,,,14EB2,,,,,华东2
YM150107I,重庆淮淳,TA1.75D-H,6,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,10米,,蓝光铭牌,D型，减震24块（赠),2015/1/8,,,BLB,,,,,华东2
YM150304B,杭州奥立达,DZE-14EB2,2,,,AC220V,,,,,,,,木箱包装,2015/3/9,,,14EB2,,,,,华东1
YM150119C,杭州奥立达,S2.0D-H,10,BCC,,AC220V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/20,,,14EB2,,,2015-K-0013/0011/0002/0007/0008/0001/0009/0010/0012/0014,,华东1
YM150210A,杭州奥立达,TA0.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,"D型，型号WYT前加大写ALD ,奥立达包装箱",2015/2/10,,,BLB,,,,,华东1
YM150119A,杭州奥立达,TA1.0B-H,5,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/20,,,BLB,,,,,华东1
YM150106B,杭州奥立达,TA1.0C-H,10,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/6,,,BLB,,,2014-K-3456-3459/ 3424/3409/ 3425/ 3564/3565/ 3514,,华东1
YM150209D,杭州奥立达,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/10,,,BLB,,,21500006,,华东1
YM150202A,杭州奥立达,TA1.0E-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,"D型，型号WYT前加大写ALD ,奥立达包装箱",2015/2/2,,,BLB,,,11500313,,华东1
YM150107C,杭州奥立达,TA1.5C-H,3,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/8,,,BLB,,,2014-K-3995-3994/3994b,,华东1
YM141231B,杭州奥立达,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/5,,,BLB,,,2014-K-3821,,华东1
YM150109B,杭州奥立达,TA1.5E-H,4,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/9,,,BLB,,,2014-K-3970/3969/3966/3965,,华东1
YM150107D,杭州奥立达,TA1.75B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/8,,,BLB,,,2014-K-0020,,华东1
YM150209C,杭州奥立达,TA1.75C-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/10,,,BLB,,,2150009-21500010,,华东1
YM141231C,杭州奥立达,TA1.75D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/1/5,,,BLB,,,2014-K-3835,,华东1
YM150304C,杭州奥立达,TA1.75E-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 ,D型，型号WYT前加大写ALD 奥立达包装箱,2015/3/4,,,BLB,,,11500504,,华东1
YM150302P,杭州奥立达,U1.0ES-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,奥立达铭牌1.1版本 铭牌打“3000KG 0.5M/S”4：1,D型，型号WYT前加大写ALD 奥立达包装箱,2015/3/4,,,BLB,,,11500508,,华东1
YM150105B,杭州天奥电梯,S2.0D-H,1,BCC,,DC110V,400*5*10*16,有,富士,海1387,10米,,蓝光铭牌,散头,2015/1/6,,,14EA,,,,,华东1
YM141226B,杭州新马,曳引轮,1,,,,400*5*10*16,,,,,,,"木箱包装，WYT-S-3D(2.2版),S1.75C主机用,04年主机",2015/1/5,,,,,,,,华东1
YM150113A,杭州新马,曳引轮,1,,,,400*4*10*16,,,,,,,WYT-S-3D，2.2版，木箱包装，出厂编码07L0852,2015/1/19,,,,,,,,华东1
GLR201501030001（14LS093）,苏州歌拉瑞,TA1.0B-H,1,MC,,DC110V,400*4*10*16,无,默纳克,海1387,9米,,蓝光英文铭牌,D型.,2015/1/5,,煤灰色,BLB,,,,,华东1
YN150310A,天津宏翔,S1.5C-H,1,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,10米,,蓝光铭牌,D型,2015/3/11,,,14EA,,,,,北方
YN15-0036,天津宏翔,TA1.75B-H,2,MC,,DC220V,400*4*10*16,有,蓝光一体化,海1387,10米,,蓝光中文铭牌，英文随机资料,D型,2015/1/26,,,BLB,,,,,北方
YE150303G,沃克斯电梯（上海腾能）,S2.5D-H,3,BCC,,AC220V,400*5*10*16,有,新时达,海1387,9米,,蓝光铭牌,"D型 ,沃克斯包装箱",2015/3/3,,,14EB2,,,V14N7297，7301，7305(WKS20150303041),,华东1
YE150109G,沃克斯电梯（上海腾能）,TA0.5C-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,9米,,沃克斯铭牌MP-93,D型，沃克斯包装箱,2015/1/9,,,BLB,,,V14NA347(POORD02121),,华东1
YE150120G,沃克斯电梯（上海腾能）,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,新时达,海1387,9米,,蓝光英文铭牌,D型，TA出口包装,2015/1/21,,,BLB,,,V15NE0001(WKS20150121030),,华东1
YE150311H,沃克斯电梯（上海腾能）,TA1.0C-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,9米,,沃克斯铭牌MP-93,D型， 沃克斯包装箱,2015/3/11,,,BLB,,,V14NA150(WKS20150310163),,华东1
YE150105F,沃克斯电梯（上海腾能）,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,9米,,蓝光铭牌,D型，沃克斯包装箱,2015/1/5,,,BLB,,,V14NA980(WKS20150105012),,华东1
YE150203C,沃克斯电梯（上海腾能）,TA1.5B-H,3,MC,,DC110V,400*4*10*16,有,新时达,海1387,9米,,蓝光铭牌,D型，沃克斯包装箱,2015/2/3,,,BLB,,,V13N8144-8146(WKS20150202051),,华东1
YE150108L,沃克斯电梯（上海腾能）,TA1.5D-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,9米,,蓝光铭牌 载重打1050KG,D型，沃克斯包装箱,2015/1/8,,,BLB,,,V14N6335-6336(WKS20150108070),,华东1
YE150306C,沃克斯电梯（上海腾能）,TA1.75B-H,8,MC,,DC110V,400*4*10*16,有,默纳克,海1387,9米,,沃克斯铭牌MP-93,"D型 ,沃克斯包装箱",2015/3/9,,,BLB,,,V14N9408-9415(WKS20141127507),,华东1
YE150106D,沃克斯电梯（上海腾能）,TA1.75C-H,8,MC,,DC110V,400*4*10*16,有,默纳克,海1387,9米,,蓝光铭牌,D型，沃克斯包装箱,2015/1/6,,,BLB,,,V14N2799-2806(WKS20150106007),,华东1
YE150305B,沃克斯电梯（上海腾能）,TA1.75D-H,8,MC,,DC110V,400*5*10*16,有,新时达,海1387,9米,,蓝光铭牌,D型 沃克斯包装箱,2015/3/5,,,BLB,,,V14N7641-7642，7645-7650(WKS20150305035),,华东1
YE150109J,沃克斯电梯（上海腾能）,TA2.0D-H,4,MC,,DC110V,400*5*10*16,有,新时达,海1387,9米,,蓝光铭牌,D型，沃克斯包装箱,2015/1/9,,,BLB,,,V12N0761-0762，0764-0765(WKS20150109055),,华东1
YE150309C,沃克斯电梯（上海腾能）,U1.0ES-H,1,MM,,DC110V,480*6*12*18,有,新时达,海1387,9米,,沃克斯铭牌MP-93,"D型 ,沃克斯包装箱",2015/3/9,,,BLB,,,V14NB658(WKS20150309001),,华东1
YE150105A,沃克斯电梯（上海腾能）,U1.75ES-H,1,MM,,DC110V,480*6*12*18,有,新时达,海1387,9米,,蓝光铭牌,D型，沃克斯包装箱,2015/1/5,,,BLB,,,V14NA964(WKS20140903432),,华东1
YE150212A,沃克斯电梯（上海腾能）,U2.0DS-H,4,MM,,DC110V,480*6*12*18,有,默纳克,海1387,9米,,沃克斯铭牌MP-93,D型，沃克斯包装箱,2015/2/12,,,BLB,,,V14NB643-646(WKS20150212038),,华东1
GLR201502090011（G15NA008）,苏州歌拉瑞,TA1.0C-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,9米,,歌拉瑞中文铭牌，型号打：GWZ01A-02,D型，歌拉瑞包装,2015/2/10,,煤灰色,BLB,,,,,华东1
YE150116A,沃克斯电梯（上海腾能）,Y1.0F2-H,1,EWW,复,DC110V,480*12*12*15-3F(C),有,新时达,海1387,9米,,蓝光铭牌,D型，沃克斯包装箱,2015/1/16,,,16E3B2A,,,V14NA998(POORD002166),,华东1
YE150115H,沃克斯电梯（上海腾能）,Y1.6F2-H,2,EWW,复,DC110V,480*12*12*15-3F(C),有,新时达,海1387,9米,,蓝光铭牌，铭牌打1.5m/s,D型，沃克斯包装箱,2015/1/16,,,16E3B2A,,,V14NA996-A997(POORD002166),,华东1
YE150202C,沃克斯电梯（上海腾能）,Y2.5B3-H,2,AWW,,AC220V,410*6*10*16-3C,有,新时达,海1387,9米,,蓝光铭牌,"D型,沃克斯包装箱",2015/2/2,,,16E3B2,,,V14N0978-0979(WKS20150202001),,华东1
GLR201501050017（G14NB500）,苏州歌拉瑞,TA1.0D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,9米,,蓝光铭牌,D型，歌拉瑞包装,2015/1/6,,煤灰色,BLB,,,,,华东1
GLR201502120002(115LSP011-012),苏州歌拉瑞,TA1.5B-H,2,MC,,DC110V,400*4*10*16,有,默纳克,海1387,9米,,蓝光英文铭牌,D型,2015/2/12,,煤灰色,BLB,,,,,华东1
GLR201501290005（G15NA001-006）,苏州歌拉瑞,TA1.5D-H,6,MC,,DC110V,400*5*10*16,有,默纳克,海1387,9米,,苏州歌拉瑞中文铭牌，型号打：GWZ01A-02,D型.歌拉瑞包装,2015/1/29,,煤灰色,BLB,,,,,华东1
GLR201502120023（115LSPM005）,苏州歌拉瑞,TA1.5E-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,9米,,蓝光英文铭牌,D型,2015/2/12,,煤灰色,BLB,,,,,华东1
GLR201502110022（G15NK022-025）,苏州歌拉瑞,TA1.75D-H,4,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,9米,,歌拉瑞英文铭牌，型号打：GWZ01A-02,D型，歌拉瑞包装，所有随机资料，主机及部件铭牌全部为英文，不允许有任何中文及拼音标识,2015/2/12,,煤灰色,BLB,,,,,华东1
GLR201502130008（G15NL026）,苏州歌拉瑞,TA1.75E-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,9米,,歌拉瑞中文铭牌，型号打：GWZ01A-02,"D型 ,歌拉瑞包装",2015/2/13,,煤灰色,BLB,,,,,华东1
